TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EQTL3;32,28;1,39;18,12;1,57;0,36;29,60;18,72;5,05;4,89;9,93;5,03;1,61;0,92;4,66;-0,47;1,47;8,65;1,98;9,43;0,23;0,73;0,39;29,50;19,34;219.750.429,80;20,57;1,78;0,93;40.337.793.631,36
ESPA3;0,94;;-16,18;0,40;0,15;35,46;13,44;-2,04;2,46;7,34;4,86;0,79;0,33;0,98;-0,27;1,58;-2,46;-0,96;6,25;0,39;0,61;0,47;24,51;;217.306,40;2,37;-0,06;-3,96;343.351.912,70
ESTR3;7,60;;-2,38;-0,11;0,21;46,41;-2,98;-17,22;-13,73;-27,26;-18,47;;0,41;-0,10;-0,36;0,16;-4,56;-8,76;0,93;-1,92;2,92;0,51;3,49;;0,00;-70,08;-3,19;0,04;39.339.700,00
ESTR4;3,50;;-1,10;-0,05;0,10;46,41;-2,98;-17,22;-6,32;-27,26;-18,47;;0,19;-0,04;-0,16;0,16;-4,56;-8,76;0,93;-1,92;2,92;0,51;3,49;;2.321,90;-70,08;-3,19;0,02;39.339.700,00
ETER3;5,16;8,38;2,81;0,40;0,24;22,54;5,32;9,81;5,19;6,96;1,72;0,13;0,28;1,10;-0,43;2,05;14,30;8,69;-0,94;0,61;0,39;0,89;16,03;;1.156.237,05;12,86;1,84;0,03;322.473.721,50
EUCA3;16,50;3,58;3,88;0,59;0,34;32,66;13,79;14,23;4,01;5,03;1,43;0,21;0,55;1,83;-0,55;1,97;15,24;8,77;9,60;0,58;0,42;0,62;16,23;68,52;10.416,55;27,91;4,25;0,09;1.371.745.756,20
EUCA4;13,95;4,66;3,28;0,50;0,29;32,66;13,79;14,23;3,39;5,03;1,43;0,21;0,47;1,55;-0,46;1,97;15,24;8,77;9,60;0,58;0,42;0,62;16,23;68,52;530.383,60;27,91;4,25;0,08;1.371.745.756,20
EVEN3;5,56;20,69;9,86;0,60;0,21;25,48;8,98;3,92;4,30;6,13;1,79;0,25;0,39;0,35;-1,13;3,82;6,09;2,14;6,05;0,35;0,61;0,55;15,06;;5.429.509,80;9,30;0,57;-0,34;1.126.000.000,00
EZTC3;14,16;7,62;8,69;0,64;0,49;32,97;20,30;24,51;10,49;11,12;0,60;0,04;2,13;1,21;-0,89;11,59;7,38;5,68;4,36;0,77;0,22;0,23;22,62;29,90;41.031.319,85;22,12;1,63;0,09;3.142.465.044,66
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
